id,category,description,img_path,url,picarats,first_hint,second_hint,third_hint,special_hint,solution,answer_img
012,Write Answer,"A man sitting next to you on the train shows you a picture he's drawn.


""Let's say the picture has a total area of 10.
 Can you figure out how much of it is made up of clouds compared to the area that's made up of sky? Don't think you need to guess the answer.
 There's a definite method you can use to work this out.
""

How much of the area is sky versus clouds?
",layton-data/images/Clouds_and_Sky.jpg,https://layton.fandom.com/wiki/Puzzle:Clouds_and_Sky,30.0,"You never know what secrets the area around the window might hide.
 Try using those studs stuck around the frame of the window to simplify things.

You could use the frame's screws to simplify how you look at the picture.

","Open the memo function and, using the studs around the window, divide the picture into 10 squares.
 There, now doesn't that make things easier?
Now all you have to do is study the squares carefully.
.
.

","Compare each square with the others.
 By now, perhaps you've managed to spot that some of the squares have the same designs as other squares but are inverted in color scheme.
 Any pair of squares you find like this have the same amount of sky and cloud, right?
But you still have to deal with those other squares that are completely blue.

",,"Nice job!

The key here is to use the studs surrounding the picture to divide it up.
 Once you do that, it should be clear that B and F, C and I, D and G, and E and H are simply pairs of the same drawings with the color reversed.
 This means that in these eight areas, there are four squares of sky and four squares of clouds.
 The remaining two squares, A and J, are solid blue, so in the end, there are six squares of sky and four squares of clouds.

",
102,Select and Submit,"You recently bought several rare books at a used-book store.
 The total you paid, before tax, was 99 pounds.


The image below shows the shelf you purchased your books from.
 Below each book is a tag listing its price, also before tax.
 Which books did you buy?

Mark all the books you bought before submitting your answer.

",layton-data/images/Balance_Your_Books.jpg,https://layton.fandom.com/wiki/Puzzle:Balance_Your_Books,30.0,"The last digit of 99 pounds is nine, so figure out which book prices add up to a number starting with nine.

","Once you've figured out some combinations that add up to a number starting with nine, focus on finding a combination that results in a number ending in nine.

","You bought four books.
 If your solution is more or fewer than four books, check your math and try again.

","If you choose only those books that are priced as multiples of three, you'll have the right answer.

","Right on the money!

You bought four books with prices of 27, 33, 15, and 24 pounds.
 Identifying the numbers that add up so that the second digit is nine is a common approach to solving this type of problem.


By the way, 99 is a multiple of three.
 Did you notice that if you choose only books whose prices are multiples of three, you also got the right answer?
",
12,Touch,"Use the clouds and build a bridge across to get to the princess in the castle!

Touch a cloud to move it up or down with your magic spell.
 Clouds that are raised become sturdy and perfect for crossing, while clouds that are lowered turn into gloomy grey rain clouds, unsuitable for crossing.


Be careful.
 Your magic is a bit.
.
.
off today.
 As a result, moving any cloud will move its neighbouring clouds as well.

",layton-data/images/Cloudy_Crossing.jpg,https://layton.fandom.com/wiki/Puzzle:Cloudy_Crossing,20.0,"It is entirely possible to make it across in only three steps.

","If things get a bit muddled, there's no harm in starting over from the beginning.

How about trying to move that ominous rain cloud in the middle first?
","Next, there should be two pairs of rain clouds.
 Moving the inner or outer cloud of one of these pairs will lead to clearer skies.

The question is, the inner or outer one?
","You're almost there!
If you picked the correct cloud in Hint 3, there will be three rain clouds left joined together.
 Raise them by moving the middle cloud to complete the bridge.

","You did it!

The princess is most happy to see you!
",
005,Write Answer,"An ordinary analogue clock has two hands, with the longer hand moving faster around the face of the clock.


Assuming that this clock keeps perfect time, how many times will the long and short hands pass over each other between 12 noon and 12 midnight?
",layton-data/images/Clock_Hands.jpg,https://layton.fandom.com/wiki/Puzzle:Clock_Hands,50.0,"The hands pass over each other once an hour.
 So in 12 hours they will pass 12 times.
.
.

Or will they?
","The hands start off on top of each other at 12 noon, so that doesn't count as a pass.

","One pass every hour.

But the hands don't pass over each other on the hour.
 They will pass around 5 minutes past 1, or 33 minutes past 6.

So what time will it be the last time they pass?
",,"That's right!

The hands pass over each other 10 times.
 If you think about it the answer is obvious, but you might have been tricked by the question.


The hands pass over each other once an hour, but since they start and end directly on top of each other, two of the twelve hours do not count as a pass.


Why not try it on a real clock?
",
W20,Input,"A vandal has scrawled graffiti all over this garden fence! The fence has been daubed with a series of alternating squares and circles with numbers in them.
 It seems like the numbers follow a pattern, but the last circle is too dirty to read.


What do you think that final number could be?
",layton-data/images/Vandal%27s_Failure.jpg,https://layton.fandom.com/wiki/Puzzle:Vandal%27s_Failure,,"Can you spot the relationship between 4 and 16? What about 8 and 64?
Is there another relationship between 16 and 8? And 64 and 32?
You should be able to spot a pattern.

",,,,"Square on the head!

The number is 1024.


The number is big, but the rule was quite simple: you just had to multiply 32 by itself.

",
d,,"<p><span typeof=""mw:File""><a class=""mw-file-description image"" href=""https://static.
wikia.
nocookie.
net/layton/images/9/98/LW-d-puzzle.
png/revision/latest?cb=20170702153832""><img class=""mw-file-element"" data-image-key=""LW-d-puzzle.
png"" data-image-name=""LW-d-puzzle.
png"" data-relevant=""1"" decoding=""async"" height=""183"" loading=""lazy"" src=""https://static.
wikia.
nocookie.
net/layton/images/9/98/LW-d-puzzle.
png/revision/latest/scale-to-width-down/350?cb=20170702153832"" width=""350""/></a></span>
</p>",layton-data/images/Balloon_Puzzle.jpg,https://layton.fandom.com/wiki/Puzzle:Balloon_Puzzle,60.0,,,,,,
123,Select,"You've got four chains.
 All the chains are the same length, but their colors vary.
 Some links are black and some are white.
 Some are one color on the left and the other on the right.
 Others are one color on the back and the other on the front.


Among the four chains are two lengths that have exactly the same combination of links.
 Touch two of the letters from A to D to mark the two identical chains.

",layton-data/images/The_Same_Chain.jpg,https://layton.fandom.com/wiki/Puzzle:The_Same_Chain,35.0,"The process of elimination is the best way to solve this puzzle.

Compare the chains one link at a time.

","Look for a link in the chains that simply can't be the same type of link as the other three have in the same position.

There is at least one such link.
 If you can spot it, you know you can eliminate that whole chain.

","By the way, if you've eliminated the first chain, you may want to look again, but this time start from the bottom up.

","If you compare the very bottom links on the three remaining chains, you'll find the two chains that are identical.

","Correct!

Length A and length D are the same.


They hang at different angles, but have the same combination of links.

",
082,Move,"The wires connecting the elevator to the button controlling it have somehow been severed.
 However, if you can connect the negative (-) and positive (+) wires on the top to the wires carrying the same charge below, you can fix the elevator.
 To do this, you need to draw lines between sets of X-shaped terminals.
 Draw two lines to connect each positive and negative terminal to its counterpart and get the elevator running again.

",layton-data/images/Restarting_the_Lift.jpg,https://layton.fandom.com/wiki/Puzzle:Restarting_the_Lift,30.0,"You need to connect wires with the same symbol together.
 So + goes with + and - with another -.

If you examine the tangle of wires, finding the solution should be simple enough.

","To make things simpler, identify the wires that are connected to some other area offscreen, and eliminate them as possible answers.

In the top row of wires, the rightmost wire and the one third from the right run offscreen.

","The leftmost terminal in the upper set of four is connected to the wire carrying a negative (-) current.

Now it's up to you to figure out the other three terminals you need to use.

",,"We're back in business!

The elevator's working again!
",
129,Select and Submit,"Your escape route is blocked.
.
.
by blocks!

Luckily, you have five bombs at your disposal.
 Each bomb will completely destroy the block it's placed on.
 Remaining blocks will fall into empty spaces created below them by destroyed blocks, but they won't change shape.


Place your five bombs on the five blocks that, when destroyed, will leave behind a flat surface you can drive across.
 Then push that button!
",layton-data/images/Block_Blockade.jpg,https://layton.fandom.com/wiki/Puzzle:Block_Blockade,70.0,"There are five specific blocks you need to destroy.
 Don't worry about making a mistake, though.
 You can try again as many times as you want, so just have fun blowing stuff up! You're bound to figure it out eventually.

","If you look closely, you'll notice that the blocks are made up of evenly sized squares.
 Also, the pit is five squares deep.
 Start your thinking from here.

","There are three blocks on the bottom row.
 You need to destroy the one on the left and the one on the right.
 Leave the middle block intact.

","Do not destroy the square block in the upper right of the stack.

","Boom!

Great job.
 Now, get out of here!
",
151,Arrange,"The fuel pipe in the Bostonius's engine has been shattered into little pieces.
 In the world of aviation, this is generally not considered to be a good thing.
 There's an emergency fuel supply that will keep the airship afloat for a little while, but nevertheless, that fuel pipe really needs fixing.


Use the pieces on the Touch Screen to reconnect the engine to the fuel supply.
 Bear in mind that, together, those pieces make up one long pipe, so make sure you use every last one of them.

",layton-data/images/Fuel%27s_Errand_3.jpg,https://layton.fandom.com/wiki/Puzzle:Fuel%27s_Errand_3,60.0,"Start by placing a J-shaped piece in the bottom-right corner.
 Next to that, place a piece with an L-shaped section of pipe on it.

","Next, the piece that goes in the top-left corner looks like a lower-case ""r"".

","One of the pieces you've got looks like a ""J"" that's been rotated 90° anticlockwise.
 This is the one that goes in the top-right corner.

","Once you've placed all the pieces listed in the previous hints, look at which of the remaining pieces will fit in the bottom-left corner.
 You'll quickly see there's only one that won't have pipes leading straight into the wall.

You've now got all four corners in place - all the help you'll need to get fixing this fuel pipe.

","You're flying high!

It's always sunny above the clouds, you know!
",/Users/raphael/layton-eval/layton-data/answer_images/Fuel%27s_Errand_3.jpg
